trade_id,trade_date,source_report,ticker,action,shares_delta,previous_weight_pct,new_weight_pct,weight_change_pct,target_weight_pct,conviction_tier,portfolio_role,funding_source_note
weekly_analysis_pro_260330-NONE,2026-03-30,weekly_analysis_pro_260330.md,NONE,No share changes executed,0.0,0.0,0.0,0.0,,,,Maintained positioning on the latest confirmed valuation basis
weekly_analysis_pro_260403-NONE,2026-04-03,weekly_analysis_pro_260403.md,NONE,No share changes executed,0.0,0.0,0.0,0.0,,,,Share counts unchanged; weights remain on the latest verified fallback mark pending cleaner close coverage
weekly_analysis_pro_260505-SMH,2026-05-05,weekly_analysis_pro_260505.md,SMH,Buy,8.0,21.35,24.69,3.34,24.69,Tier 1,Growth engine,Funded from cash; stays below 25% max position size
model-2026-05-29-20260530_101857-01-GLD-SELL,2026-05-29,runtime:etf_report_state_20260529_20260530_101857.json,GLD,Sell,-15.380800,9.4300,4.4300,-5.0000,4.3400,Tier 3,Hedge ballast,Guarded auto-execution: reduce GLD to fund GSG.
model-2026-05-29-20260530_101857-01-GSG-BUY,2026-05-29,runtime:etf_report_state_20260529_20260530_101857.json,GSG,Buy,201.749658,0.0000,5.0000,5.0000,5.0000,,Rotation destination,Guarded auto-execution: buy GSG funded by GLD.
model-2026-05-29-20260530_124038-01-GLD-SELL,2026-05-29,runtime:etf_report_state_20260529_20260530_124038.json,GLD,Sell,-13.618968,8.9800,4.7600,-4.2200,4.7600,Tier 3,Hedge ballast,Guarded auto-execution: reduce GLD to fund GSG.
model-2026-05-29-20260530_124038-01-GSG-BUY,2026-05-29,runtime:etf_report_state_20260529_20260530_124038.json,GSG,Buy,178.639748,4.7600,8.9800,4.2200,8.9800,Tier 2,Rotation destination,Guarded auto-execution: buy GSG funded by GLD.
model-2026-05-29-20260530_135517-01-GLD-SELL,2026-05-29,runtime:etf_report_state_20260529_20260530_135517.json,GLD,Sell,-15.365591,8.6200,4.0500,-4.5700,4.0500,Tier 3,Hedge ballast,Guarded auto-execution: reduce GLD to fund GSG.
model-2026-05-29-20260530_135517-01-GSG-BUY,2026-05-29,runtime:etf_report_state_20260529_20260530_135517.json,GSG,Buy,201.550169,8.6200,13.1900,4.5700,13.1900,Tier 2,Rotation destination,Guarded auto-execution: buy GSG funded by GLD.
model-2026-05-29-20260530_140244-01-GLD-SELL,2026-05-29,runtime:etf_report_state_20260529_20260530_140244.json,GLD,Sell,-13.625230,8.2400,4.3700,-3.8700,4.3700,Tier 3,Hedge ballast,Guarded auto-execution: reduce GLD to fund GSG.
model-2026-05-29-20260530_140244-01-GSG-BUY,2026-05-29,runtime:etf_report_state_20260529_20260530_140244.json,GSG,Buy,178.721891,12.6100,16.4800,3.8700,16.4800,Tier 2,Rotation destination,Guarded auto-execution: buy GSG funded by GLD.
model-2026-05-29-20260530_142844-01-GLD-SELL,2026-05-29,runtime:etf_report_state_20260529_20260530_142844.json,GLD,Sell,-15.373279,7.9400,3.7300,-4.2100,3.7300,Tier 3,Hedge ballast,Guarded auto-execution: reduce GLD to fund GSG.
model-2026-05-29-20260530_142844-01-GSG-BUY,2026-05-29,runtime:etf_report_state_20260529_20260530_142844.json,GSG,Buy,201.651013,15.8700,20.0800,4.2100,20.0800,Tier 2,Rotation destination,Guarded auto-execution: buy GSG funded by GLD.
model-2026-05-29-20260530_155915-01-GLD-SELL,2026-05-29,runtime:etf_report_state_20260529_20260530_155915.json,GLD,Sell,-13.630039,7.6200,4.0400,-3.5800,4.0400,Tier 3,Hedge ballast,Guarded auto-execution: reduce GLD to fund GSG.
model-2026-05-29-20260530_155915-01-GSG-BUY,2026-05-29,runtime:etf_report_state_20260529_20260530_155915.json,GSG,Buy,178.784964,19.2700,22.8500,3.5800,22.8500,Tier 2,Rotation destination,Guarded auto-execution: buy GSG funded by GLD.
